工号,日期,打卡状态
007359,2026-08-14,正常
007375,2026-08-10,正常
007350,2026-08-27,正常
7391,2026-08-03,正常
7313,2026-08-14,正常
007302,2026-08-06,正常
7409,2026-08-31,正常
7406,2026-08-04,迟到
7381,2026-08-21,正常
7304,2026-08-21,正常
007368,2026-08-28,正常
7372,2026-08-13,正常
007385,2026-08-18,正常
7368,2026-08-03,正常
7356,2026-08-03,正常
7323,2026-08-13,正常
007402,2026-08-04,事假
7375,2026-08-05,正常
7350,2026-08-21,正常
007338,2026-08-12,正常
007383,2026-08-03,正常
7303,2026-08-26,正常
007409,2026-08-21,正常
007312,2026-08-17,正常
007368,2026-08-04,正常
007303,2026-08-06,正常
7344,2026-08-18,迟到
7346,2026-08-21,迟到
7395,2026-08-25,正常
007317,2026-08-07,正常
7388,2026-08-31,正常
007331,2026-08-26,正常
7309,2026-08-21,迟到
007302,2026-08-10,正常
007398,2026-08-31,正常
7364,2026-08-18,正常
007372,2026-08-10,正常
007382,2026-08-05,正常
007398,2026-08-06,正常
007395,2026-08-24,正常
7346,2026-08-17,正常
007327,2026-08-20,迟到
007326,2026-08-20,正常
007402,2026-08-11,正常
7359,2026-08-12,正常
7375,2026-08-04,正常
007401,2026-08-28,事假
007338,2026-08-21,正常
007397,2026-08-05,正常
7359,2026-08-19,正常
7388,2026-08-17,正常
007309,2026-08-26,正常
007319,2026-08-14,事假
007312,2026-08-10,正常
007326,2026-08-11,正常
007375,2026-08-25,正常
007382,2026-08-04,正常
007317,2026-08-17,正常
7382,2026-08-13,正常
007338,2026-08-19,正常
7348,2026-08-18,年休假
7364,2026-08-25,正常
007350,2026-08-31,正常
7391,2026-08-17,正常
007398,2026-08-26,事假
007382,2026-08-07,正常
007397,2026-08-20,正常
007303,2026-08-25,正常
7304,2026-08-17,正常
007344,2026-08-27,正常
7385,2026-08-26,迟到
7301,2026-08-26,正常
7340,2026-08-18,正常
7334,2026-08-03,正常
007374,2026-08-18,年休假
7402,2026-08-21,正常
007398,2026-08-25,正常
007368,2026-08-25,事假
7327,2026-08-03,正常
007401,2026-08-03,正常
007401,2026-08-19,正常
7379,2026-08-28,正常
7359,2026-08-28,正常
007319,2026-08-03,正常
007323,2026-08-31,正常
007340,2026-08-20,正常
7319,2026-08-07,正常
7326,2026-08-05,正常
007340,2026-08-04,正常
007331,2026-08-10,正常
007347,2026-08-24,正常
7383,2026-08-14,正常
007381,2026-08-19,迟到
007395,2026-08-07,正常
007350,2026-08-04,正常
7326,2026-08-17,正常
007374,2026-08-12,正常
007391,2026-08-10,正常
007359,2026-08-10,正常
007395,2026-08-12,正常
007340,2026-08-12,正常
7313,2026-08-28,正常
007363,2026-08-27,正常
007317,2026-08-13,正常
007382,2026-08-18,正常
007363,2026-08-31,正常
007347,2026-08-06,正常
7364,2026-08-11,正常
7319,2026-08-27,正常
7312,2026-08-04,正常
007383,2026-08-21,事假
007368,2026-08-18,正常
7356,2026-08-20,正常
007359,2026-08-03,正常
007319,2026-08-11,正常
7302,2026-08-14,正常
007317,2026-08-24,正常
007385,2026-08-25,正常
007309,2026-08-12,正常
007301,2026-08-31,年假
007334,2026-08-12,缺勤
7301,2026-08-27,正常
7409,2026-08-27,正常
007385,2026-08-19,病假
7364,2026-08-06,正常
7334,2026-08-17,事假
7350,2026-08-20,年假
7347,2026-08-04,迟到
007309,2026-08-13,正常
7301,2026-08-19,迟到
007401,2026-08-10,正常
7303,2026-08-17,正常
007395,2026-08-17,年假
007409,2026-08-06,正常
007334,2026-08-12,正常
7346,2026-08-26,年休假
7363,2026-08-10,事假
007363,2026-08-18,正常
7312,2026-08-05,年假
007372,2026-08-20,正常
7388,2026-08-14,正常
007381,2026-08-27,正常
007356,2026-08-06,迟到
7372,2026-08-17,正常
7347,2026-08-28,正常
7313,2026-08-20,正常
7350,2026-08-10,正常
007338,2026-08-18,病假
7309,2026-08-18,正常
007356,2026-08-14,病假
007309,2026-08-11,正常
007303,2026-08-04,年假
007401,2026-08-13,正常
7409,2026-08-03,正常
7327,2026-08-19,正常
007350,2026-08-11,正常
7346,2026-08-12,年假
007347,2026-08-07,正常
7304,2026-08-24,正常
7312,2026-08-21,正常
007331,2026-08-03,正常
007338,2026-08-25,正常
7401,2026-08-04,正常
007313,2026-08-05,年假
007359,2026-08-25,正常
7375,2026-08-31,正常
7406,2026-08-24,正常
7368,2026-08-11,正常
007327,2026-08-14,正常
007397,2026-08-11,事假
007385,2026-08-06,正常
007348,2026-08-06,正常
007359,2026-08-26,正常
7346,2026-08-25,年休假
007348,2026-08-27,正常
007374,2026-08-25,迟到
007385,2026-08-31,正常
7375,2026-08-03,病假
007313,2026-08-07,正常
007326,2026-08-19,
007402,2026-08-20,正常
007344,2026-08-24,迟到
7301,2026-08-04,正常
007302,2026-08-24,正常
007381,2026-08-18,正常
7401,2026-08-18,正常
007359,2026-08-27,正常
007313,2026-08-18,正常
007395,2026-08-04,正常
7359,2026-08-18,病假
007388,2026-08-11,迟到
7364,2026-08-12,正常
7327,2026-08-06,正常
007388,2026-08-24,年假
007364,2026-08-26,正常
7303,2026-08-05,迟到
7319,2026-08-13,正常
7326,2026-08-26,事假
7359,2026-08-04,年休假
007326,2026-08-27,正常
007304,2026-08-03,正常
7409,2026-08-04,正常
7409,2026-08-17,正常
007346,2026-08-03,事假
007319,2026-08-06,迟到
007350,2026-08-05,正常
7334,2026-08-14,正常
007346,2026-08-11,正常
007397,2026-08-24,正常
007331,2026-08-04,正常
007334,2026-08-24,正常
7334,2026-08-19,正常
007313,2026-08-06,正常
007347,2026-08-17,正常
007344,2026-08-31,正常
7312,2026-08-31,年休假
007319,2026-08-26,病假
7323,2026-08-10,正常
007334,2026-08-31,正常
7319,2026-08-12,正常
7301,2026-08-18,正常
007347,2026-08-19,迟到
007383,2026-08-31,正常
007363,2026-08-26,正常
007397,2026-08-27,正常
7364,2026-08-20,正常
7301,2026-08-03,正常
007382,2026-08-31,正常
7317,2026-08-04,正常
007398,2026-08-11,正常
7383,2026-08-24,年休假
7406,2026-08-21,正常
7388,2026-08-06,正常
7401,2026-08-20,正常
007319,2026-08-10,正常
7327,2026-08-25,正常
7308,2026-08-24,事假
007391,2026-08-21,正常
007313,2026-08-03,正常
007364,2026-08-12,缺勤
007385,2026-08-10,正常
007334,2026-08-07,病假
7385,2026-08-12,正常
7302,2026-08-11,迟到
007348,2026-08-17,正常
007323,2026-08-12,正常
007347,2026-08-12,正常
007363,2026-08-05,正常
007312,2026-08-07,正常
007303,2026-08-24,正常
7402,2026-08-12,正常
007382,2026-08-26,正常
7409,2026-08-25,正常
007308,2026-08-31,正常
7372,2026-08-28,正常
007323,2026-08-07,正常
7334,2026-08-10,正常
7319,2026-08-19,正常
007375,2026-08-28,正常
007395,2026-08-10,正常
7409,2026-08-13,病假
7340,2026-08-05,正常
7409,2026-08-19,正常
007317,2026-08-20,正常
007375,2026-08-20,正常
007382,2026-08-17,正常
7348,2026-08-25,迟到
7350,2026-08-17,正常
007350,2026-08-03,迟到
7323,2026-08-24,正常
7368,2026-08-06,正常
7391,2026-08-25,正常
7368,2026-08-24,正常
007359,2026-08-11,正常
7409,2026-08-26,正常
7347,2026-08-03,正常
7382,2026-08-11,正常
007312,2026-08-24,正常
007331,2026-08-06,年休假
007364,2026-08-24,正常
007334,2026-08-27,正常
007327,2026-08-26,正常
007356,2026-08-31,正常
007395,2026-08-21,正常
7356,2026-08-26,正常
7401,2026-08-27,正常
007347,2026-08-11,正常
007388,2026-08-19,正常
7364,2026-08-07,正常
7340,2026-08-21,正常
007319,2026-08-20,正常
7302,2026-08-28,年休假
7401,2026-08-05,正常
7374,2026-08-17,正常
007326,2026-08-07,正常
007356,2026-08-07,正常
007323,2026-08-28,正常
7397,2026-08-07,年休假
007348,2026-08-03,正常
007346,2026-08-14,迟到
007323,2026-08-20,正常
7383,2026-08-19,正常
007356,2026-08-05,正常
7409,2026-08-12,正常
7379,2026-08-27,正常
7364,2026-08-05,正常
007388,2026-08-20,正常
7364,2026-08-27,正常
7309,2026-08-19,正常
007391,2026-08-26,正常
7381,2026-08-03,正常
7356,2026-08-04,正常
007391,2026-08-18,正常
007331,2026-08-25,正常
007350,2026-08-14,正常
7398,2026-08-24,病假
7313,2026-08-24,正常
007402,2026-08-10,正常
7308,2026-08-27,正常
007397,2026-08-03,正常
007383,2026-08-17,年休假
007385,2026-08-21,年休假
007356,2026-08-17,正常
007346,2026-08-31,正常
007309,2026-08-14,事假
007356,2026-08-19,正常
7302,2026-08-21,正常
007383,2026-08-25,正常
007327,2026-08-21,事假
007375,2026-08-19,正常
007344,2026-08-21,正常
7402,2026-08-18,正常
007402,2026-08-27,正常
7401,2026-08-25,正常
007406,2026-08-17,正常
007348,2026-08-21,正常
007326,2026-08-13,正常
7331,2026-08-18,正常
7388,2026-08-05,正常
7383,2026-08-10,正常
007313,2026-08-19,正常
007398,2026-08-21,正常
007382,2026-08-25,正常
7356,2026-08-27,正常
7340,2026-08-11,年休假
7326,2026-08-10,年休假
007398,2026-08-17,正常
007395,2026-08-27,正常
007402,2026-08-25,正常
7381,2026-08-05,正常
007383,2026-08-20,正常
7334,2026-08-20,正常
007356,2026-08-12,正常
7304,2026-08-14,正常
007308,2026-08-10,正常
007338,2026-08-07,正常
007363,2026-08-19,迟到
7402,2026-08-14,迟到
7346,2026-08-05,正常
007350,2026-08-24,正常
007327,2026-08-07,正常
007331,2026-08-17,年假
007323,2026-08-06,正常
7326,2026-08-31,正常
7395,2026-08-11,正常
007381,2026-08-10,年休假
007388,2026-08-26,年假
7347,2026-08-26,正常
007340,2026-08-27,迟到
007398,2026-08-05,正常
007363,2026-08-21,正常
007382,2026-08-19,正常
007304,2026-08-31,正常
007308,2026-08-07,事假
007347,2026-08-21,正常
7395,2026-08-26,正常
007340,2026-08-25,正常
007303,2026-08-27,正常
007363,2026-08-12,事假
007359,2026-08-17,正常
7406,2026-08-14,事假
7363,2026-08-06,正常
007374,2026-08-13,事假
007331,2026-08-12,迟到
007388,2026-08-04,正常
007308,2026-08-03,正常
007402,2026-08-24,正常
007388,2026-08-25,正常
007397,2026-08-31,迟到
007340,2026-08-19,事假
7327,2026-08-27,正常
007406,2026-08-20,正常
7388,2026-08-12,正常
007406,2026-08-19,正常
007385,2026-08-13,正常
7312,2026-08-19,正常
7401,2026-08-06,正常
007304,2026-08-10,病假
007317,2026-08-21,正常
007340,2026-08-31,正常
007375,2026-08-26,正常
7303,2026-08-10,正常
007308,2026-08-28,正常
007302,2026-08-26,正常
7364,2026-08-13,正常
7313,2026-08-25,正常
007309,2026-08-24,年假
007372,2026-08-11,正常
7401,2026-08-14,正常
007326,2026-08-24,正常
7303,2026-08-21,正常
007304,2026-08-12,正常
007309,2026-08-17,年休假
007304,2026-08-20,正常
007304,2026-08-18,正常
007391,2026-08-07,迟到
007382,2026-08-06,正常
7312,2026-08-28,正常
007327,2026-08-04,正常
007388,2026-08-27,正常
7363,2026-08-28,正常
7312,2026-08-06,年休假
007374,2026-08-03,病假
007368,2026-08-07,正常
7398,2026-08-03,正常
7385,2026-08-24,正常
007406,2026-08-28,正常
7401,2026-08-07,正常
007326,2026-08-21,正常
007331,2026-08-21,正常
007398,2026-08-13,年休假
7313,2026-08-04,正常
7363,2026-08-03,正常
7372,2026-08-24,正常
007364,2026-08-10,正常
7309,2026-08-20,正常
7391,2026-08-06,正常
7304,2026-08-04,病假
7395,2026-08-14,正常
7312,2026-08-12,迟到
007363,2026-08-25,正常
007406,2026-08-25,正常
007348,2026-08-11,正常
007346,2026-08-04,正常
7317,2026-08-19,迟到
7303,2026-08-28,年休假
7383,2026-08-18,正常
007391,2026-08-24,正常
7331,2026-08-31,正常
007391,2026-08-14,
007319,2026-08-04,正常
007397,2026-08-17,正常
007319,2026-08-31,正常
007374,2026-08-04,正常
7397,2026-08-19,正常
007350,2026-08-13,正常
7385,2026-08-20,正常
7334,2026-08-13,年休假
007303,2026-08-18,正常
007375,2026-08-07,迟到
007379,2026-08-26,正常
007313,2026-08-27,年休假
007350,2026-08-06,正常
007348,2026-08-28,正常
7397,2026-08-25,正常
007323,2026-08-17,正常
7309,2026-08-31,正常
007338,2026-08-06,正常
007391,2026-08-19,正常
007301,2026-08-14,正常
007406,2026-08-06,正常
007308,2026-08-18,事假
7388,2026-08-03,病假
007356,2026-08-25,正常
007346,2026-08-07,正常
007391,2026-08-13,正常
7364,2026-08-28,迟到
007350,2026-08-07,正常
007372,2026-08-07,正常
7301,2026-08-13,正常
7350,2026-08-28,正常
007313,2026-08-12,病假
007347,2026-08-13,正常
7347,2026-08-18,正常
7323,2026-08-18,年休假
007383,2026-08-26,年休假
7303,2026-08-19,年休假
007364,2026-08-12,正常
007301,2026-08-20,正常
7338,2026-08-03,正常
007397,2026-08-21,正常
007402,2026-08-05,正常
007401,2026-08-21,正常
007397,2026-08-13,正常
007375,2026-08-14,正常
007356,2026-08-11,调休
7374,2026-08-06,正常
007313,2026-08-21,正常
007381,2026-08-11,正常
7398,2026-08-12,正常
7398,2026-08-07,
7398,2026-08-27,事假
7302,2026-08-13,正常
7331,2026-08-27,正常
7406,2026-08-26,正常
7302,2026-08-27,正常
7347,2026-08-14,正常
007347,2026-08-10,正常
7395,2026-08-20,正常
7395,2026-08-18,调休
007338,2026-08-04,正常
7303,2026-08-11,病假
007375,2026-08-17,正常
007364,2026-08-03,正常
007364,2026-08-17,事假
007379,2026-08-31,年假
007402,2026-08-07,正常
7363,2026-08-04,迟到
7402,2026-08-06,正常
7385,2026-08-27,正常
007301,2026-08-24,正常
007402,2026-08-19,正常
7381,2026-08-04,年假
7381,2026-08-12,正常
7397,2026-08-04,正常
7317,2026-08-28,正常
007340,2026-08-10,正常
7374,2026-08-07,正常
007347,2026-08-05,迟到
007308,2026-08-20,正常
007327,2026-08-31,迟到
7375,2026-08-27,迟到
007304,2026-08-07,病假
007350,2026-08-18,迟到
007385,2026-08-03,事假
7402,2026-08-03,正常
7350,2026-08-26,正常
7391,2026-08-28,迟到
7323,2026-08-11,正常
007363,2026-08-13,正常
7401,2026-08-31,年假
007368,2026-08-17,迟到
007302,2026-08-05,正常
007301,2026-08-05,正常
7348,2026-08-31,正常
007331,2026-08-07,
007368,2026-08-21,正常
7375,2026-08-06,正常
7340,2026-08-07,正常
7319,2026-08-17,正常
007372,2026-08-05,正常
007327,2026-08-10,正常
7303,2026-08-12,正常
007338,2026-08-27,正常
007406,2026-08-05,迟到
7381,2026-08-06,正常
7326,2026-08-28,正常
007340,2026-08-26,
7383,2026-08-28,正常
7340,2026-08-24,正常
007348,2026-08-04,迟到
007346,2026-08-10,正常
007338,2026-08-31,迟到
007374,2026-08-24,年假
007406,2026-08-31,正常
007327,2026-08-17,正常
007374,2026-08-05,正常
007301,2026-08-07,正常
7409,2026-08-07,正常
7302,2026-08-31,事假
007398,2026-08-14,正常
7308,2026-08-19,正常
7301,2026-08-12,迟到
007303,2026-08-14,正常
007398,2026-08-19,年休假
007304,2026-08-19,正常
007308,2026-08-17,病假
7401,2026-08-17,正常
007347,2026-08-25,正常
7326,2026-08-03,病假
007363,2026-08-11,迟到
007312,2026-08-13,正常
007309,2026-08-25,正常
007312,2026-08-03,年休假
7323,2026-08-05,迟到
7359,2026-08-20,正常
007368,2026-08-10,正常
7338,2026-08-17,事假
007303,2026-08-13,正常
7391,2026-08-31,正常
007368,2026-08-19,正常
7401,2026-08-24,正常
007323,2026-08-19,正常
007317,2026-08-31,迟到
007308,2026-08-04,正常
007308,2026-08-25,正常
007402,2026-08-28,正常
7331,2026-08-28,正常
7317,2026-08-05,病假
007382,2026-08-03,正常
007359,2026-08-31,正常
7398,2026-08-04,正常
7301,2026-08-21,年假
007395,2026-08-31,正常
7391,2026-08-04,正常
7334,2026-08-26,正常
007326,2026-08-18,正常
007301,2026-08-06,正常
007346,2026-08-28,正常
7368,2026-08-27,年假
7372,2026-08-25,正常
007348,2026-08-12,正常
7308,2026-08-12,正常
007313,2026-08-10,正常
007304,2026-08-26,正常
7381,2026-08-28,正常
7348,2026-08-14,正常
007319,2026-08-24,正常
7406,2026-08-11,正常
7385,2026-08-28,正常
7375,2026-08-18,正常
007302,2026-08-03,正常
7391,2026-08-20,正常
007313,2026-08-31,正常
007409,2026-08-05,正常
7334,2026-08-11,年休假
007308,2026-08-26,正常
7301,2026-08-28,正常
7406,2026-08-12,正常
7334,2026-08-25,正常
007334,2026-08-05,正常
007302,2026-08-19,正常
007338,2026-08-28,正常
007334,2026-08-28,正常
007334,2026-08-18,正常
7348,2026-08-07,正常
7313,2026-08-11,迟到
007409,2026-08-28,正常
7359,2026-08-21,正常
7359,2026-08-06,正常
7398,2026-08-20,正常
007375,2026-08-21,正常
7374,2026-08-10,正常
007372,2026-08-18,正常
007304,2026-08-05,正常
7308,2026-08-21,正常
7304,2026-08-06,正常
007340,2026-08-03,正常
007344,2026-08-26,正常
7302,2026-08-12,正常
007368,2026-08-12,正常
7398,2026-08-18,正常
7402,2026-08-13,正常
007334,2026-08-12,正常
7302,2026-08-17,正常
7331,2026-08-19,正常
7308,2026-08-11,正常
7385,2026-08-14,正常
007326,2026-08-12,病假
007409,2026-08-20,病假
7364,2026-08-21,正常
7401,2026-08-11,正常
007409,2026-08-10,正常
7364,2026-08-19,正常
7303,2026-08-07,病假
007388,2026-08-21,迟到
007363,2026-08-14,正常
007312,2026-08-26,正常
007356,2026-08-10,迟到
007388,2026-08-28,正常
007406,2026-08-03,正常
007383,2026-08-11,事假
7303,2026-08-03,正常
007301,2026-08-17,迟到
007348,2026-08-24,正常
007317,2026-08-12,迟到
7317,2026-08-18,正常
007391,2026-08-12,正常
007317,2026-08-27,年休假
7327,2026-08-05,正常
7374,2026-08-27,正常
7374,2026-08-28,病假
7346,2026-08-20,正常
7304,2026-08-11,年假
007364,2026-08-31,正常
007402,2026-08-17,正常
7359,2026-08-07,正常
7301,2026-08-10,正常
007388,2026-08-10,正常
7368,2026-08-13,正常
007363,2026-08-20,病假
007331,2026-08-11,正常
007395,2026-08-03,正常
7368,2026-08-05,正常
7348,2026-08-26,正常
007402,2026-08-26,正常
7385,2026-08-11,正常
007346,2026-08-06,正常
007372,2026-08-31,正常
7382,2026-08-28,正常
007368,2026-08-20,正常
007397,2026-08-10,正常
007368,2026-08-14,正常
007338,2026-08-05,正常
7312,2026-08-25,正常
007317,2026-08-14,正常
007375,2026-08-24,正常
007309,2026-08-28,年假
007346,2026-08-19,正常
007356,2026-08-13,迟到
007334,2026-08-21,事假
007397,2026-08-26,正常
7382,2026-08-27,正常
007331,2026-08-20,正常
7381,2026-08-07,正常
7397,2026-08-28,正常
007338,2026-08-20,正常
007374,2026-08-20,正常
007368,2026-08-26,正常
7301,2026-08-25,正常
7382,2026-08-14,正常
7323,2026-08-03,病假
7385,2026-08-04,正常
007368,2026-08-31,正常
7319,2026-08-28,年休假
007382,2026-08-10,正常
7363,2026-08-24,正常
007312,2026-08-20,正常
7372,2026-08-27,正常
007391,2026-08-05,正常
007391,2026-08-27,正常
007395,2026-08-06,病假
7356,2026-08-18,正常
7395,2026-08-13,正常
